DATA       TAB_SQL                        REG_SQL        TAB_TERA                       REG_TERA             Diferenca            
20170531   WD_CATEGORIA_ECONOMICA_NARE    9              WD_CATEGORIA_ECONOMICA_NARE                       9                     0
20170531   WD_CATEGORIA_ECONOMICA2_NARE   8              WD_CATEGORIA_ECONOMICA2_NARE                      8                     0
20170531   WD_CATEGORIA_GASTO_NADE        19             WD_CATEGORIA_GASTO_NADE                          19                     0
20170531   WD_CATEGORIA_ITEM              11             WD_CATEGORIA_ITEM                                11                     0
20170531   WD_CATEGORIA_SIORG             78             WD_CATEGORIA_SIORG                               78                     0
20170531   WD_CCON_ROTEIRO_EVENTO         68171          WD_CCON_ROTEIRO_EVENTO                        68171                     0
20170531   WD_CELULA_ORCAMENTARIA         2644411        WD_CELULA_ORCAMENTARIA                      2644411                     0
20170531   WD_CENTRO_CUSTO                15279          WD_CENTRO_CUSTO                               15279                     0
20170531   WD_CLASSE_CARGO                60650          WD_CLASSE_CARGO                               60650                     0
20170531   WD_CLASSE_CCON                 11             WD_CLASSE_CCON                                   11                     0
20170531   WD_CLASSE_EVENTO               20             WD_CLASSE_EVENTO                                 20                     0
20170531   WD_CLASSE_EXERCICIO_CCON       96             WD_CLASSE_EXERCICIO_CCON                         96                     0
20170531   WD_CONTA_CONTABIL              9393           WD_CONTA_CONTABIL                              9393                     0
20170531   WD_CONTA_CONTABIL_EXERCICIO    117715         WD_CONTA_CONTABIL_EXERCICIO                  117715                     0
20170531   WD_CONTA_CONTABIL_RUBRICA_VINC 0              WD_CONTA_CONTABIL_RUBRICA_VINC                    0                     0
20170531   WD_CONTA_CORRENTE              90384107       WD_CONTA_CORRENTE                          90384107                     0
20170531   WD_COTA_PARTE                  570            WD_COTA_PARTE                                   570                     0
20170531   WD_CRONOGRAMA_TV               792241         WD_CRONOGRAMA_TV                             792241                     0
20170531   WD_DESTINACAO_RECEITA          1242           WD_DESTINACAO_RECEITA                          1242                     0
20170531   WD_DESTINACAO_RECOLHIMENTO     1319           WD_DESTINACAO_RECOLHIMENTO                     1319                     0
20170531   WD_DETA_CREDITO_ORGAO          7              WD_DETA_CREDITO_ORGAO                             7                     0
20170531   WD_DETA_FONTE                  6              WD_DETA_FONTE                                     6                     0
20170531   WD_DETA_FONTE_EVENTO           8              WD_DETA_FONTE_EVENTO                              8                     0
20170531   WD_DETA_INSCRICAO_EVENTO       92             WD_DETA_INSCRICAO_EVENTO                         92                     0
20170531   WD_DETA_ORCA_FINA_DAR          4414908        WD_DETA_ORCA_FINA_DAR                       4414908                     0
20170531   WD_DETA_ORCA_FINA_DARF         21604580       WD_DETA_ORCA_FINA_DARF                     20556004               1048576
20170531   WD_DETA_ORCA_FINA_GFIP         32053          WD_DETA_ORCA_FINA_GFIP                        32053                     0
20170531   WD_DETA_ORCA_FINA_GPS          7139109        WD_DETA_ORCA_FINA_GPS                       6090533               1048576
20170531   WD_DETA_ORCA_FINA_GRU          2987249        WD_DETA_ORCA_FINA_GRU                       1938673               1048576
20170531   WD_DETA_PI_EVENTO              6              WD_DETA_PI_EVENTO                                 6                     0
20170531   WD_DETALHE_ACOMP_PO            141            WD_DETALHE_ACOMP_PO                             141                     0
20170531   WD_DIA                         12918          WD_DIA                                        12918                     0
20170531   WD_DIA_BASE                    34             WD_DIA_BASE                                      34                     0
20170531   WD_DIVIDA_EXTERNA              1805           WD_DIVIDA_EXTERNA                              1805                     0
20170531   WD_DOC_DAR                     4407537        WD_DOC_DAR                                  4407537                     0
20170531   WD_DOC_DARF                    21542525       WD_DOC_DARF                                20493949               1048576
20170531   WD_DOC_FINA_LINHA_TV           2743520        WD_DOC_FINA_LINHA_TV                        1694944               1048576
20170531   WD_DOC_GFIP                    30989          WD_DOC_GFIP                                   30989                     0
20170531   WD_DOC_GPS                     7100671        WD_DOC_GPS                                  6052095               1048576
20170531   WD_DOC_GRU                     2970744        WD_DOC_GRU                                  1922168               1048576
20170531   WD_DOC_HABIL                   3661710        WD_DOC_HABIL                                3661710                     0
20170531   WD_DOC_NC                      7166556        WD_DOC_NC                                   7166556                     0
20170531   WD_DOC_ND                      9224608        WD_DOC_ND                                   9224608                     0
20170531   WD_DOC_NE                      38685138       WD_DOC_NE                                  38685138                     0
20170531   WD_DOC_NE_ITEM                 67431583       WD_DOC_NE_ITEM                             66383007               1048576
20170531   WD_DOC_NL                      23865198       WD_DOC_NL                                  22816622               1048576
20170531   WD_DOC_NS                      105481450      WD_DOC_NS                                 105481450                     0
20170531   WD_DOC_NT                      112311         WD_DOC_NT                                    112311                     0
20170531   WD_DOC_OB                      61513227       WD_DOC_OB                                  60464651               1048576
20170531   WD_DOC_ORCA_LINHA_TV           2598391        WD_DOC_ORCA_LINHA_TV                        1549815               1048576
20170531   WD_DOC_ORIGEM                  22964211       WD_DOC_ORIGEM                              21915635               1048576
20170531   WD_DOC_PE                      1483046        WD_DOC_PE                                   1483046                     0
20170531   WD_DOC_PERMITIDO_EVENTO        33927          WD_DOC_PERMITIDO_EVENTO                       33927                     0
20170531   WD_DOC_PF                      10575688       WD_DOC_PF                                  10575688                     0
20170531   WD_DOC_RA                      530423650      WD_DOC_RA                                 530423650                     0
20170531   WD_DOCUMENTO                   819532251      WD_DOCUMENTO                              819532251                     0
20170531   WD_DOCUMENTO_CONTABIL_TV       444200         WD_DOCUMENTO_CONTABIL_TV                     444200                     0
20170531   WD_DOCUMENTO_FINANCEIRO_TV     2811657        WD_DOCUMENTO_FINANCEIRO_TV                  1763081               1048576
20170531   WD_DOCUMENTO_ORCAMENTARIO_TV   129154         WD_DOCUMENTO_ORCAMENTARIO_TV                 129154                     0
20170531   WD_DOMICILIO_BANCARIO          11884948       WD_DOMICILIO_BANCARIO                      11884948                     0
20170531   WD_ELEMENTO_DESPESA_NADE       96             WD_ELEMENTO_DESPESA_NADE                         96                     0
20170531   WD_EMDE_ADITIVO_TV             2228712        WD_EMDE_ADITIVO_TV                          1180136               1048576
20170531   WD_EMPRESA_DESTINATARIA_TV     724389         WD_EMPRESA_DESTINATARIA_TV                   724389                     0
20170531   WD_ENCERRAMENTO_CCON           7              WD_ENCERRAMENTO_CCON                              7                     0
20170531   WD_ENTIDADE                    14533037       WD_ENTIDADE                                14533037                     0
20170531   WD_ENTIDADE_DOBA               11799204       WD_ENTIDADE_DOBA                           11799204                     0
20170531   WD_ENVIO_FITA_ONLINE_GFIP      6              WD_ENVIO_FITA_ONLINE_GFIP                         6                     0
20170531   WD_ESCOLARIDADE                59             WD_ESCOLARIDADE                                  59                     0
20170531   WD_ESCOLARIDADE_CARGO          9              WD_ESCOLARIDADE_CARGO                             9                     0
20170531   WD_ESFERA_ADMIN_TV             10             WD_ESFERA_ADMIN_TV                               10                     0
20170531   WD_ESFERA_ADMIN_UG             9              WD_ESFERA_ADMIN_UG                                9                     0
20170531   WD_ESFERA_ORCAMENTARIA         7              WD_ESFERA_ORCAMENTARIA                            7                     0
20170531   WD_ESFERA_SIORG                6              WD_ESFERA_SIORG                                   6                     0
20170531   WD_ESPECIE_DETA_ND             6              WD_ESPECIE_DETA_ND                                6                     0
20170531   WD_ESPECIE_GR_RA               10             WD_ESPECIE_GR_RA                                 10                     0
20170531   WD_ESPECIE_LISTA_ITENS_NE      7              WD_ESPECIE_LISTA_ITENS_NE                         7                     0
20170531   WD_ESPECIE_NE                  21             WD_ESPECIE_NE                                    21                     0
20170531   WD_ESPECIE_RA                  6              WD_ESPECIE_RA                                     6                     0
20170531   WD_ESPECIE_RECEITA_NARE        144            WD_ESPECIE_RECEITA_NARE                         144                     0
20170531   WD_ESPECIE_RECEITA2_NARE       146            WD_ESPECIE_RECEITA2_NARE                        146                     0
20170531   WD_ESTADO_DOC_HABIL            9              WD_ESTADO_DOC_HABIL                               9                     0
20170531   WD_ESTADO_MUNICIPIO_UG         5              WD_ESTADO_MUNICIPIO_UG                            5                     0
20170531   WD_EVENTO                      29975          WD_EVENTO                                     29975                     0
20170531   WD_EVENTO_COMPLEMENTAR         41505          WD_EVENTO_COMPLEMENTAR                        41505                     0
20170531   WD_EXER_EMISSAO_NE             6              WD_EXER_EMISSAO_NE                                6                     0
20170531   WD_EXERCICIO_ADITIVO_TV        2230633        WD_EXERCICIO_ADITIVO_TV                     1182057               1048576
20170531   WD_EXERCICIO_TV                726521         WD_EXERCICIO_TV                              726521                     0
20170531   WD_EXIG_EQUI_NATU_EVENTO       5              WD_EXIG_EQUI_NATU_EVENTO                          5                     0
20170531   WD_FAIXA_ETARIA                16             WD_FAIXA_ETARIA                                  16                     0
20170531   WD_FAVORECIDO_EVENTO           6              WD_FAVORECIDO_EVENTO                              6                     0
20170531   WD_FONTE_CADASTRO              12001          WD_FONTE_CADASTRO                             12001                     0
20170531   WD_FONTE_INSCRICAO_1_EVENTO    30015          WD_FONTE_INSCRICAO_1_EVENTO                   30015                     0
20170531   WD_FONTE_INSCRICAO_2_EVENTO    29981          WD_FONTE_INSCRICAO_2_EVENTO                   29981                     0
20170531   WD_FONTE_RECURSO               103            WD_FONTE_RECURSO                                103                     0
20170531   WD_FONTE_RECURSO_DETA          32275          WD_FONTE_RECURSO_DETA                         32275                     0
20170531   WD_FORMA_UTILIZACAO_CPR        8              WD_FORMA_UTILIZACAO_CPR                           8                     0
20170531   WD_FORMACAO_PROFISSIONAL       6433           WD_FORMACAO_PROFISSIONAL                       6433                     0
20170531   WD_FPAS                        34             WD_FPAS                                          34                     0
20170531   WD_FUNCAO                      21500          WD_FUNCAO                                     21500                     0
20170531   WD_FUNCAO_PT                   34             WD_FUNCAO_PT                                     34                     0
20170531   WD_FUNCAO_UG                   6              WD_FUNCAO_UG                                      6                     0
20170531   WD_GESTAO                      446            WD_GESTAO                                       446                     0
